indicator_slug,F-001,F-002,F-003,F-004,F-005,F-006,F-007,F-008,F-009,F-010,F-011,F-012,F-013,F-014,F-015,F-016,F-017,F-018,F-019,F-020,F-021,POST /crecust/insert,POST /creacc/insert,GET /inqcustz/enquiry/{custno},GET /inqaccz/enquiry/{accno},GET /inqacccz/list/{custno},PUT /updcust/update,PUT /updacc/update,DELETE /delacc/remove/{accno},DELETE /delcus/remove/{custno},PUT /makepayment/dbcr,GET /webui-1.0/banking/companyName,GET /webui-1.0/banking/sortCode,POST /webui-1.0/banking/account,GET /webui-1.0/banking/account,GET /webui-1.0/banking/account/{accountNumber},GET /webui-1.0/banking/account/retrieveByCustomerNumber/{customerNumber},GET /webui-1.0/banking/account/balance,PUT /webui-1.0/banking/account/{id},PUT /webui-1.0/banking/account/debit/{id},PUT /webui-1.0/banking/account/credit/{id},PUT /webui-1.0/banking/account/transfer/{id},DELETE /webui-1.0/banking/account/{accountNumber},POST /webui-1.0/banking/customer,GET /webui-1.0/banking/customer,GET /webui-1.0/banking/customer/{id},GET /webui-1.0/banking/customer/name,GET /webui-1.0/banking/customer/all/town/{town},GET /webui-1.0/banking/customer/all/surname/{surname},GET /webui-1.0/banking/customer/all/age/{age},PUT /webui-1.0/banking/customer/{id},DELETE /webui-1.0/banking/customer/{id},GET /webui-1.0/banking/processedTransaction,POST /webui-1.0/banking/processedTransaction/debitCreditAccount,POST /webui-1.0/banking/processedTransaction/transferLocal,POST /webui-1.0/banking/processedTransaction/deleteCustomer,POST /webui-1.0/banking/processedTransaction/createCustomer,POST /webui-1.0/banking/processedTransaction/deleteAccount,POST /webui-1.0/banking/processedTransaction/createAccount
customer-credit-score,,,C,,,C,X,C,,X,C,,,C,,,C,C,X,,,X,,X,,,X,,,X,,,,,,,,,,,,,,X,X,X,X,,,,,X,,,,,,,
customer-cs-review-date,,,C,,,C,X,C,,X,C,,,C,,,,C,X,,,X,,X,,,X,,,X,,,,,,,,,,,,,,X,X,X,X,,,,,X,,,,,,,
dbcrfun-faciltype-channel-discriminator,,,,,,,,,,,,,,,C,,,,C,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proctran-eye-catcher,,,,C,,W,W,,,,,,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proctran-desc-xfr-flag,,,,C,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proctran-desc-creacc-flag,,,,C,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proctran-desc-delacc-flag,,,,C,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proctran-desc-crecus-separator,,,,C,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proctran-desc-delcus-separator,,,,C,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account-eye-catcher,,C,,,,,W,,C,C,,C,C,X,X,X,,C,,,,,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account-type-code,,C,,,,,C,,C,C,,C,C,X,R,X,,C,X,R,X,,X,,X,X,,X,X,,,,,X,X,X,X,X,X,,,,X,,,,,,,,,,,,,,,,
account-overdraft-limit,,C,,,,,C,,C,C,,C,C,X,R,X,,C,X,,X,,X,,X,X,,X,X,,,,,X,X,X,X,X,X,,,,X,,,,,,,,,,,,,,,,
customer-eye-catcher,,,C,,,C,X,C,,X,C,,,C,,,,C,,,,X,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acctctrl-eye-catcher,,,,,C,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acctctrl-number-of-accounts,,,,,C,,R,,,,,,X,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acctctrl-last-account-number,,,,,C,,W,,,,,,X,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acctctrl-success-flag,,,,,C,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acctctrl-fail-code,,,,,C,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custctrl-eye-catcher,,,,,C,W,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custctrl-number-of-customers,,,,,C,W,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custctrl-last-customer-number,,,,,C,W,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custctrl-success-flag,,,,,C,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custctrl-fail-code,,,,,C,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controli-control-counters,,,,,C,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newaccno-success-flag,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newaccno-fail-code,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newcusno-success-flag,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newcusno-fail-code,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creacc-success-flag,,,,,,,C,,,,,,,,,,,,X,W,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creacc-fail-code,,,,,,,C,,,,,,,,,,,,X,W,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xfrfun-success-flag,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xfrfun-fail-code,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqacc-success-flag,,,,,,,,,C,,,,X,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqcust-inq-success-flag,,,,,,,X,C,,X,X,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqcust-inq-fail-code,,,,,,,,C,,,X,,,R,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqacccu-success-flag,,,,,,,X,,,C,,,C,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqacccu-fail-code,,,,,,,X,,,C,,,C,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqacccu-customer-found-flag,,,,,,,X,,,C,,,C,X,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inqacccu-number-of-accounts,,X,,,,,R,,,C,,,C,X,,,,,X,,,,,,,X,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,
delacc-success-flag,,,,,,,,,,,,,C,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delacc-fail-code,,,,,,,,,,,,,C,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delacc-del-success-flag,,,,,,,,,,,,,C,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delacc-del-fail-code,,,,,,,,,,,,,C,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delcus-del-success-flag,,,,,,,,X,,,X,,,C,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delcus-del-fail-code,,,,,,,,X,,,X,,,C,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updacc-success-flag,,,,,,,,,,,,C,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updcust-upd-success-flag,,,,,,,,X,,,C,,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updcust-upd-fail-code,,,,,,,,X,,,C,,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procisrt-function-flag,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X
abndinfo-abend-code,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abndinfo-respcode,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abndinfo-resp2code,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abndinfo-sqlcode,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abndinfo-freeform,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sortcode-literal,C,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
getcompy-company-name,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
getscode-sortcode,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
stcustno-customer-number-key,,,C,,C,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
